date,source,mean_sst,site
2000-11-04,ESACCI,20.2863092325236,OL
2000-11-04,METOFFICE,NA,OL
2000-11-05,ESACCI,20.158677656429,OL
2000-11-05,METOFFICE,NA,OL
2000-11-06,ESACCI,20.146046077764,OL
2000-11-06,METOFFICE,NA,OL
2000-11-07,ESACCI,19.5328881967323,OL
2000-11-07,METOFFICE,NA,OL
2000-11-08,ESACCI,19.471835566518,OL
2000-11-08,METOFFICE,NA,OL
2000-11-09,ESACCI,19.4034145154157,OL
2000-11-09,METOFFICE,NA,OL
2000-11-10,ESACCI,19.3649934636429,OL
2000-11-10,METOFFICE,NA,OL
2000-11-11,ESACCI,19.1168355744529,OL
2000-11-11,METOFFICE,NA,OL
2000-11-12,ESACCI,19.0718355754587,OL
